Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,% of GDP in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021 Nominal GDP "
French Polynesia,,,,,,,,,,,,,61,51,46,47,51,56,70,64,71,56,58,46,17,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Gabon,147,117,146,196,156,99,113,104,89,85,78,96,96,115,110,186,,155,278,253,159,239,356,250,281,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"20,242"
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,15,3,8,58,91,66,70,25,21,18,18,19,19,18,27,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,"2,034"
Georgia,,,,,,,,6,5,39,21,20,19,22,24,27,27,32,51,34,55,77,87,88,86,96,100,122,151,170,77,106,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,"18,696"
Germany,"6,542","6,601","8,223","8,176","8,870","10,891","10,518","9,474","9,108","10,087","8,663","9,185","10,127","11,566","12,607","12,706","12,705","14,079","15,236","15,336","14,682","16,126","15,581","19,977","20,084","18,249","19,348","21,699","18,075","17,773","15,680","17,326",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,"4,262,767"
Ghana,3,4,4,4,5,5,5,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,8,5,9,"2,607","1,549","1,112",956,667,727,813,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,"79,157"
Greece,122,118,173,250,222,300,319,342,0,631,545,536,412,379,497,902,982,"1,459","1,912","1,845","1,932","1,942","1,437","1,291","1,424","1,870","1,800","2,083","2,287","2,666","2,725","2,938",1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,"216,384"
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Grenada,0,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,44,48,48,52,55,56,50,53,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,"1,115"
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
