"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Barbados","BRB","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.22672770706752","","","","","9.89726828752802","","","","","10.5337276439938","","","","","11.1761120822735","","","","","11.741413476603","","","","","12.1299016589554","","","","","","",
"Brunei Darussalam","BRN","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4892523128058","","","","","28.7271617911257","","","","","29.1317001155636","","","","","27.2019873497122","","","","","25.5750034324768","","","","","24.2759719084662","","","","","","",
"Bhutan","BTN","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.44571012408848","","","","","5.4965936132459","","","","","5.69616102462481","","","","","6.18570158316735","","","","","6.72270307644888","","","","","6.59576939457687","","","","","","",
"Botswana","BWA","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.99374698328905","","","","","2.54826044175853","","","","","3.2860008096378","","","","","4.76549662205479","","","","","5.9043934777821","","","","","7.10033436685768","","","","","","",
"Central African Republic","CAF","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28855836548856","","","","","2.9891121876349","","","","","3.31528203608757","","","","","2.32884933652365","","","","","2.10273493224818","","","","","1.6651721924121","","","","","","",
"Canada","CAN","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6649883379774","","","","","16.6036336893101","","","","","17.9530044114855","","","","","18.8458650895004","","","","","20.5450110095849","","","","","21.801663648343","","","","","","",
"Central Europe and the Baltics","CEB","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44103749672555","","","","","3.33465956673454","","","","","3.02670869337671","","","","","3.13180449353613","","","","","3.21735140909621","","","","","3.27849527185178","","","","","","",
"Switzerland","CHE","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8615326524741","","","","","21.074820415782","","","","","21.9208463347215","","","","","24.3694496995927","","","","","26.5011556044581","","","","","29.3866855419963","","","","","","",
"Channel Islands","CHI","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8333961285002","","","","","42.0124956612287","","","","","43.2348293830896","","","","","45.9766166768202","","","","","48.6148273938953","","","","","50.2816264692227","","","","","","",
"Chile","CHL","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.818045411675431","","","","","1.00336156453867","","","","","1.16893524206073","","","","","1.69839899441937","","","","","2.17123101856662","","","","","2.61551321666127","","","","","","",
